isoform	gene
T003217	ZMYND11
T003228	CACNB2
T003231	CACNB2
T003251	CACNB2
T003262	NSUN6
T003263	NSUN6
T003264	NSUN6
T003276	ARL5B
T003277	ARL5B
T003278	ARL5B
T003279	ARL5B
T003294	MALRD1
T003314	PLXDC2
T003315	PLXDC2
T003316	PLXDC2
T003317	PLXDC2
T003318	PLXDC2
T003319	PLXDC2
T003322	PLXDC2
T003338	PLXDC2
T003375	NEBL
T003377	NEBL
T003378	NEBL
T003380	NEBL
T003389	CASC10
T003390	CASC10
T003395	SKIDA1
T003398	SKIDA1
T003401	SKIDA1
T003411	MLLT10
T003412	MLLT10
T003413	MLLT10
T003416	MLLT10
T003417	MLLT10
T003418	MLLT10
T003419	MLLT10
T003420	MLLT10
T003430	MLLT10
T003436	MLLT10
T003451	DNAJC1
T003452	DNAJC1
T003453	DNAJC1
T003454	DNAJC1
T003463	COMMD3
T003464	BMI1
T003465	BMI1
T003466	BMI1
T003470	BMI1
T003471	BMI1
T003472	BMI1
T003473	BMI1
T003474	BMI1
T003475	BMI1
T003476	BMI1
T003477	BMI1
T003479	BMI1
T003480	BMI1
T003481	BMI1
T003485	SPAG6
T003499	PIP4K2A
T003523	PIP4K2A
T003525	PIP4K2A
T003528	ARMC3
T003532	MSRB2
T003533	MSRB2
T003534	MSRB2
T003541	C10orf67
T003542	C10orf67
T003553	OTUD1
T003554	OTUD1
T003555	OTUD1
T003557	OTUD1
T003558	OTUD1
T003560	OTUD1
T003571	KIAA1217
T003583	KIAA1217
T003584	KIAA1217
T003586	KIAA1217
T003587	KIAA1217
T003591	KIAA1217
T003594	KIAA1217
T003606	KIAA1217
T003607	KIAA1217
T003608	KIAA1217
T003612	KIAA1217
T003613	KIAA1217
T003619	KIAA1217
T003638	ARHGAP21
T003644	ARHGAP21
T003645	ARHGAP21
T003646	ARHGAP21
T003647	ARHGAP21
T003648	ARHGAP21
T003650	ARHGAP21
T003651	ARHGAP21
T003656	PRTFDC1
T003657	PRTFDC1
T003661	ENKUR
T003662	THNSL1
T003663	THNSL1
T003666	ENKUR
T003670	GPR158
T003681	GPR158
T003693	MYO3A
T003694	MYO3A
T003703	GAD2
T003720	APBB1IP
T003721	APBB1IP
T003722	APBB1IP
T003723	APBB1IP
T003724	APBB1IP
T003726	APBB1IP
T003727	APBB1IP
T003728	APBB1IP
T003729	APBB1IP
T003730	APBB1IP
T003757	PDSS1
T003758	PDSS1
T003760	PDSS1
T003767	ABI1
T003775	ABI1
T003779	ANKRD26
T003780	ANKRD26
T003781	ANKRD26
T003784	YME1L1
T003785	YME1L1
T003786	MASTL
T003787	MASTL
T003788	YME1L1
T003790	YME1L1
T003791	YME1L1
T003792	MASTL
T003799	ACBD5
